movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class
cosmos,72,25269,06/17/2016,2,1.05319881365,NULL,2.98546523666,0
notes-on-blindness,75,NULL,11/16/2016,NULL,0.663127625718,NULL,0.197666437886,0
miss-hokusai,74,222670,10/14/2016,84,0.240950816046,7.4,0.129819040126,0
indian-point,68,7251,07/08/2016,2,0.19716686136,NULL,3.42943548387,0
certain-women,82,1087585,10/14/2016,138,1.09873909813,6.0,0.066705971532,0
tanna,75,46654,09/16/2016,10,0.317850325593,7.0,0.310850439883,0
neruda,82,939101,12/16/2016,46,0.602147333639,7.3,1.09274193548,0
the-uncondemned,80,14393,10/21/2016,2,1.29903133569,NULL,0.102150537634,0
eva-hesse,69,157481,04/27/2016,7,0.502175426197,NULL,0.303400174368,0
three-2016,71,119550,06/24/2016,23,0.916954634393,7.0,0.532151719248,0
til-madness-do-us-part,70,NULL,06/09/2016,NULL,0,NULL,0.0,0
chronic,69,9033,09/23/2016,7,0.750439716039,6.3,1.02952433024,0
kaili-blues,85,27477,05/20/2016,4,3.65443357687,7.4,0.532258064516,0
the-idol,66,NULL,05/27/2016,NULL,0.0455528008389,NULL,0.0354838709677,0
the-jungle-book-2016,77,364001123,04/15/2016,4144,0.70310846443,7.5,0.0118981372588,0
amanda-knox,78,NULL,09/30/2016,NULL,2.32126728809,7.1,0.0374215998541,0
abortion-stories-women-tell,78,NULL,08/12/2016,NULL,0,NULL,0,0
equity,68,1605463,07/29/2016,255,0.849597367484,6.2,0.691508897375,0
hell-or-high-water,88,27007844,08/12/2016,1505,1.17905337716,8.2,0.577003121748,1
fort-buchanan,77,NULL,02/05/2016,NULL,0,NULL,0.0,0
krisha,86,144822,03/18/2016,26,0.918634494101,8.0,0.167931688805,0
cameraperson,86,102033,09/09/2016,7,0.610758139273,6.7,0.305602716469,0
almost-holy,73,21142,05/20/2016,10,0.0500764020706,NULL,0.0252454417952,0
author-the-jt-leroy-story,72,85999,09/09/2016,27,-0.0744416873449,NULL,0.387096774194,0
a-space-program,72,13739,03/18/2016,1,0.322580645161,NULL,0.387096774194,0
the-bad-kids,75,6226,12/16/2016,6,0.167677740331,NULL,0.177419354839,0
starving-the-beast,77,NULL,09/02/2016,NULL,0.0399286239836,NULL,0.0241935483871,0
boom-bust-boom,68,6896,03/11/2016,1,0.230828501637,NULL,0.0677419354839,0
miss-sharon-jones!,77,120880,07/29/2016,12,0.973469062878,NULL,0.258841818888,0
barry,72,NULL,12/16/2016,NULL,0.736273620215,5.1,0.237740634755,0
chevalier,76,25696,05/27/2016,7,1.7024349569,NULL,0.663822980539,0
being-17,83,52713,10/07/2016,7,-0.0128151218438,8.5,0.0181451612903,0
on-the-silver-globe-1988,72,NULL,07/29/2016,NULL,0.0,NULL,0.0,0
princess,85,NULL,05/27/2016,NULL,1.03867777413,NULL,1.2267010889,0
sand-storm,74,86800,09/28/2016,6,1.28945380651,6.0,0.689330024814,0
kill-zone-2,73,11998,05/13/2016,13,0.328238049744,6.4,0.110599078341,0
mapplethorpe-look-at-the-pictures,75,NULL,03/25/2016,NULL,0,NULL,0.0,0
