professor-marston-the-wonder-women,68,1.584759,10,1229,-0.0,5.8,0.0,0
gilbert,73,0.008362,11,1,1.52962069252,0,1.18170731707,0
war-for-the-planet-of-the-apes,82,146.880162,07,4100,1.25300308925,8.1,0.00799039064132,0
sweet-virginia,72,0.011089,11,8,1.05281603939,7.5,0.107142857143,0
frantz,73,0.880883,03,106,0.446358567242,8.1,0.385135135135,0
saving-banksy,73,0.047965,01,6,0.0,0,0.125,0
free-in-deed,81,0.0,09,0,0.48355926583,0,0.13125,0
the-b-side-elsa-dorfmans-portrait-photography,77,0.125227,06,25,0,0,0,0
apprentice,77,0.002578,03,3,0.864329343416,0,0.394523021366,0
a-quiet-passion,77,1.865396,04,135,0.689354709434,6.3,0.1125,0
joan-didion-the-center-will-not-hold,72,0.0,10,0,0.0,0,0.0,0
brawl-in-cell-block-99,79,0.0,10,0,2.53722108698,7.4,0.376777251185,0
in-transit,88,0.0,06,0,0.175847218281,4.8,0.72,0
youth,69,1.891956,12,35,0.991680833059,0,1.44963811821,0
one-week-and-a-day,72,0.041614,04,16,0.0,0,0.0,0
radio-dreams,74,0.027836,05,5,0.0,0,0.0,0
the-founder,66,12.786053,01,1115,1.9238867634,7.3,0.14010989011,0
the-departure,85,0.024662,10,7,0.0,0,0.15,0
harold-and-lillian-a-hollywood-love-story,75,0.078301,04,6,0,0,0.0,0
wait-for-your-laugh,70,0.073585,11,5,0.892156243352,0,0.254716981132,0
brimstone-glory,70,0.032059,10,8,0,0,0,0
violet,77,0.0,05,0,0.826454398113,0,2.10404191617,0
raw,81,0.51487,03,45,-0.0,7.4,0.0,0
super-dark-times,75,0.033109,09,21,0.439857940636,7.2,0.573033707865,0
escapes,72,0.017778,07,4,1.40722627358,0,0.554347826087,0
lady-bird,94,48.958273,11,1557,0.821676240898,7.4,1.64097051597,1
blade-runner-2049,81,92.054159,10,4058,1.08868565665,8.2,0.0547554820745,0
4-days-in-france,73,0.012273,08,2,0.0,0,0.0,0
sieranevada,82,0.0,09,0,-3.45625,6.3,0.75,0
son-of-joseph,75,0.030588,01,3,0,0,0,0
