movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
marjorie-prime,82,0.180608,08/18/2017,12,1.32976205788,7.1,0.14693877551,0,-1,-1
blade-of-the-immortal,72,0.150532,11/03/2017,31,1.70663905459,7.0,0.0111697675916,0,-1,-1
god-knows-where-i-am,66,0.021135,03/31/2017,6,0,0,0.0,0,-1,-1
chasing-trane-the-john-coltrane-documentary,69,0.406284,04/14/2017,17,0,0,0,0,-1,-1
a-gray-state,74,0.0,11/03/2017,0,0.783718091057,0,4.85714285714,0,-1,-1
my-happy-family,86,0.0,12/01/2017,0,0.781175346393,0,0.448051948052,0,-1,-1
miss-kiets-children,83,0.009384,12/13/2017,2,0.0,0,0.0,0,-1,-1
the-papers,83,81.877424,12/22/2017,2851,0.816128995365,7.0,3.01697110142,1,-1,-1
the-nile-hilton-incident,70,0.081089,08/11/2017,9,1.2,7.4,0.571428571429,0,-1,-1
gook,69,0.25013,08/18/2017,27,-0.200204614881,5.5,0.203917050691,0,-1,-1
midnight-return-the-story-of-billy-hayes-and-turkey,68,0.0,07/21/2017,0,0,0,0.0,0,-1,-1
star-wars-episode-viii,85,620.181382,12/15/2017,4232,3.01456589309,4.6,0.142054574639,0,-1,-1
the-reagan-show,66,0.0055,06/30/2017,2,2.28110599079,0,0.183673469388,0,-1,-1
jesus,68,0.0,09/01/2017,0,0.0,0,0.0,0,-1,-1
abundant-acreage-available,68,0.0,09/29/2017,0,0.275510204081,0,0.160714285714,0,-1,-1
chavela,68,0.148666,10/04/2017,14,0.245338490323,0,0.15037593985,0,-1,-1
the-death-and-life-of-marsha-p-johnson,76,0.0,10/06/2017,0,0.0670265886386,0,0.015306122449,0,-1,-1
chuck,68,0.320725,05/05/2017,120,0.400203471548,7.0,1.29180994061,0,-1,-1
thy-fathers-chair,81,0.0,10/13/2017,0,0,0,0.0,0,-1,-1
my-entire-high-school-sinking-into-the-sea,72,0.068883,04/14/2017,25,0.0496301067033,6.0,0.0292207792208,0,-1,-1
motherland-2017,84,0.0,09/08/2017,0,1.35252783032,0,1.10408163265,0,-1,-1
menashe,81,1.703036,07/28/2017,126,0.932744207796,6.2,0.15306122449,0,-1,-1
blood-stripe,70,0.0,09/29/2017,0,0.0562582195451,0,0.0238095238095,0,-1,-1
woodpeckers,68,0.0,09/15/2017,0,3.14822064913,0,1.55714285714,0,-1,-1
dayveon,69,0.002077,09/13/2017,3,0.264019467751,0,1.33928571429,0,-1,-1
one-of-us,79,0.0,10/20/2017,0,1.34899770875,0,0.455357142857,0,-1,-1
thelma,74,0.147391,11/10/2017,39,1.54818688537,8.1,0.634920634921,0,-1,-1
manifesto,72,0.161101,05/10/2017,10,0.856927074392,7.8,0.0926910299003,0,-1,-1
score-a-film-music-documentary,67,0.101382,06/16/2017,8,0,6.0,0.857142857143,0,-1,-1
the-disaster-artist,76,21.120616,12/01/2017,1010,0.662980027471,7.6,0.488346144309,0,-1,5
truman,81,0.21084,04/07/2017,22,0.186934250317,7.9,0.471861471861,0,-1,-1
the-beguiled,77,10.709995,06/23/2017,941,1.14664705473,6.2,0.00751415984896,0,-1,-1
sami-blood,79,0.0,06/02/2017,0,0.404189480141,4.0,0.214285714286,0,-1,-1
i-tonya,77,30.014539,12/08/2017,1450,0.98096851855,7.8,1.72019976344,0,-1,5
tickling-giants,78,0.051499,03/15/2017,17,0.65265880241,0,0.0605042016807,0,-1,-1
a-dark-song,71,0.0,04/28/2017,0,0.714505773137,6.7,0.0935613682093,0,-1,-1
a-womans-life,74,0.037626,05/05/2017,4,2.5756231378,0,3.85714285714,0,-1,-1
mr-roosevelt,73,0.0,10/27/2017,0,5.95944391915,0,1.64285714286,0,-1,-1
food-evolution,72,0.017181,06/23/2017,3,1.87060851291,0,0.11301369863,0,-1,-1
the-death-of-louis-xiv,76,0.043113,03/31/2017,6,0,0,0,0,-1,-1
big-sonia,71,0.20341,11/17/2017,4,0.480597527472,0,0.696428571429,0,-1,-1
the-lost-city-of-z,78,8.58041,04/14/2017,866,1.60938538919,6.9,0.116158792284,0,-1,-1
santoalla,68,0.002684,07/19/2017,1,0.0,0,0.257142857143,0,-1,-1
the-red-turtle,86,0.921974,01/20/2017,127,1.93939005905,7.9,1.14285714286,0,-1,-1
strong-island,86,0.0,09/15/2017,0,1.32880899773,6.8,0.16196013289,0,-1,-1
behemoth,85,0.0,01/27/2017,0,0.541726485508,5.7,1.29411764706,0,-1,-1
heartstone,70,0.0,09/29/2017,0,1.32303403193,7.6,1.325,0,-1,-1
birthright-a-war-story,70,0.007519,07/14/2017,1,0,0,0.428571428571,0,-1,-1
paris-0559-theo-hugo,74,0.0,01/27/2017,0,0,6.2,0,0,-1,-1
dina,75,0.090503,10/06/2017,24,0.590203120891,0,0.805970149254,0,-1,-1
bang!-the-bert-berns-story,79,0.059299,04/26/2017,5,0,0,0,0,-1,-1
casting-jonbenet,74,0.0,04/28/2017,0,1.66399965183,7.2,0.00500986792166,0,-1,-1
the-last-dalai-lama,66,0.145524,07/07/2017,18,0.0827320827321,0,0.142857142857,0,-1,-1
jeremiah-tower-the-last-magnificent,68,0.228153,04/21/2017,33,0,0,0,0,-1,-1
tomorrow,71,0.062511,04/21/2017,20,1.09853337152,0,0.692541302235,0,-1,-1
hounds-of-love,73,0.0,05/12/2017,0,1.38460023627,6.8,0.120173745174,0,-1,-1
moka,69,0.129547,06/14/2017,18,1.90152536729,0,0.231505102041,0,-1,-1
legion-of-brothers,77,0.0,05/19/2017,0,0.280556217515,0,0.0892857142857,0,-1,-1
professor-marston-the-wonder-women,68,1.584759,10/13/2017,1229,-0.0,5.8,0.214285714286,0,-1,-1
gilbert,73,0.008362,11/03/2017,1,1.20059541547,0,2.01428571429,0,-1,-1
war-for-the-planet-of-the-apes,82,146.880162,07/14/2017,4100,1.20363027305,8.1,0.0196962010206,0,-1,-1
sweet-virginia,72,0.011089,11/17/2017,8,1.01998541577,7.5,0.247959183673,0,-1,-1
frantz,73,0.880883,03/15/2017,106,0.508061756145,8.1,0.582046332046,0,-1,-1
saving-banksy,73,0.047965,01/13/2017,6,1.61917971072,0,0.107142857143,0,-1,-1
free-in-deed,81,0.0,09/08/2017,0,0.372835255641,0,0.192857142857,0,-1,-1
the-b-side-elsa-dorfmans-portrait-photography,77,0.125227,06/30/2017,25,0,0,0,0,-1,-1
apprentice,77,0.002578,03/03/2017,3,0.829836240558,0,0.356927905077,0,-1,-1
