movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
finding-dory,77,486295561,06/17/2016,4305,0.903157391259,7.4,0.00577533029862,0,-1,-1
our-last-tango,70,100086,04/15/2016,6,0.0735099614351,NULL,0.0552995391705,0,-1,-1
silicon-cowboys,75,8239,09/16/2016,12,0.0,NULL,0.0,0,-1,-1
love-and-friendship,87,14016568,05/13/2016,826,0.794505681156,7.0,0.0896142890138,0,-1,-1
the-tenth-man,66,63564,08/05/2016,4,0.0,NULL,0.0,0,-1,-1
do-not-resist,69,72791,09/30/2016,8,0.436397081509,NULL,0.166330645161,0,-1,-1
the-prison-in-twelve-landscapes,86,NULL,11/04/2016,NULL,0,NULL,0.0,0,-1,-1
everything-is-copy,88,NULL,03/11/2016,NULL,0.565610552727,7.8,0.0635080645161,0,-1,-1
the-fits,90,166425,06/03/2016,20,0.889569479327,6.7,0.346543778802,0,-1,-1
other-people,68,91441,09/09/2016,12,0.646650354112,6.6,0.216668501596,0,-1,-1
the-handmaiden,84,2006768,10/21/2016,125,0.985934826914,8.4,0.330010873505,0,-1,-1
viva,69,178008,04/29/2016,17,2.08021608192,7.5,0.280904957783,0,-1,-1
leonard-cohen-bird-on-a-wire,79,NULL,12/02/2016,NULL,0,NULL,0,0,-1,-1
divines,71,NULL,11/18/2016,NULL,0.494295336233,7.4,0.276497695853,0,-1,-1
hidden-figures,74,169607287,12/25/2016,3416,1.0576443257,7.4,2.79393927183,1,-1,-1
patriots-day,69,31886361,12/21/2016,3120,1.02041651453,7.2,1.53882352941,0,-1,-1
tunnel,68,568876,08/26/2016,36,0.868116946571,7.8,0.714774630452,0,-1,-1
fences,79,57682904,12/16/2016,2368,1.16841234803,7.3,2.44408128464,1,5,-1
my-golden-days,87,269144,03/18/2016,32,0.345996918263,6.8,0.0209241499564,0,-1,-1
the-lost-arcade,66,9522,08/12/2016,1,0.0,NULL,0.0,0,-1,-1
indignation,78,3401155,07/29/2016,317,0.310360025809,7.3,0.0826612903226,0,-1,-1
a-beautiful-planet,75,13880630,04/29/2016,155,0.309302785765,8.3,0.0137096774194,0,-1,-1
hacksaw-ridge,71,67209615,11/04/2016,2971,0.781707462122,8.3,0.160257875365,1,5,5
the-clan,73,201227,03/18/2016,19,-9.41136899473,7.6,5.43548387097,0,-1,-1
blood-father,66,NULL,08/12/2016,NULL,2.15146887086,6.6,0.169497995801,0,-1,-1
parched,67,NULL,06/17/2016,NULL,0.924808417732,NULL,0.244039270687,0,-1,-1
the-brand-new-testament,70,127910,12/09/2016,17,0.23669861046,6.8,0.26267281106,0,-1,-1
for-the-love-of-spock,74,80141,09/09/2016,38,0.680657784697,8.1,0.0640757458989,0,-1,-1
blood-on-the-mountain,74,4664,11/18/2016,2,0.173459792918,NULL,0.0774193548387,0,-1,-1
city-of-gold,72,640979,03/11/2016,50,0.296229181523,7.5,0.0777366472766,0,-1,-1
eye-in-the-sky,73,18704595,03/11/2016,1089,1.93764397844,7.1,0.19744160178,0,-1,-1
barbershop-3,67,54030051,04/15/2016,2676,0.429826261764,5.8,0.00678640908474,0,-1,-1
loving,79,7751969,11/04/2016,572,0.986196632812,7.3,0.807512584934,0,5,-1
a-war,81,122902,02/12/2016,30,4.30302488857,7.6,0.0850439882698,0,-1,-1
kung-fu-panda-3,66,143528619,01/29/2016,3987,1.71938365545,7.4,0.0263567362429,0,-1,-1
right-now-wrong-then,81,24470,06/24/2016,2,1.92035272076,8.0,0.193548387097,0,-1,-1
portrait-of-a-garden,70,7914,10/26/2016,1,0,NULL,0.387096774194,0,-1,-1
mia-madre,70,303002,08/26/2016,35,0.0786107203107,6.1,0.0721705850191,0,-1,-1
wedding-doll,66,56196,04/15/2016,7,0.0,6.0,0.0552995391705,0,-1,-1
demon,80,104038,09/09/2016,24,0.961084530335,6.5,0.956109645107,0,-1,-1
imperium,68,NULL,08/19/2016,NULL,0.432683737147,6.8,0.0723390548065,0,-1,-1
the-academy-of-muses,82,NULL,09/02/2016,NULL,0,NULL,0.0,0,-1,-1
the-infiltrator,66,15436808,07/13/2016,1601,1.13908378416,7.3,0.0284560812135,0,-1,-1
the-ivory-game,73,NULL,11/04/2016,NULL,2.30854610082,7.7,0.078799249531,0,-1,-1
kubo-and-the-two-strings,84,48023088,08/19/2016,3279,0.980846752964,8.2,0.11387011209,0,-1,-1
sing-street,79,3237118,04/15/2016,525,0.841466256686,8.6,1.39973016068,0,-1,5
the-invitation,74,231737,04/08/2016,31,0.516957981941,7.4,0.054050473604,0,-1,-1
old-stone,72,7476,11/30/2016,6,-0.402548116021,NULL,0.110599078341,0,-1,-1
tikkun,71,13671,06/10/2016,2,0.0633431085044,NULL,0.119106699752,0,-1,-1
kate-plays-christine,75,25564,08/24/2016,3,0.394671654836,NULL,0.127016129032,0,-1,-1
things-to-come,88,388140,12/02/2016,22,0.84345527897,6.8,0.341013824885,0,-1,-1
equal-means-equal,71,NULL,08/26/2016,NULL,0.74692395543,NULL,0.0823322985558,0,-1,-1
godzilla-resurgence,67,1918403,10/11/2016,490,0.120154200519,7.4,0.0162717670568,0,-1,-1
moonlight-2016,99,27854932,10/21/2016,1564,0.935174353963,7.2,1.172276851,1,5,5
hail-caesar!,72,30498085,02/05/2016,2248,1.01061246355,5.9,0.281353265146,0,-1,-1
operation-avalanche,69,NULL,09/16/2016,NULL,0.102230920932,6.7,0.155866400228,0,-1,-1
maya-angelou-and-still-i-rise,66,NULL,10/14/2016,NULL,0,NULL,0.193548387097,0,-1,-1
art-bastard,70,19600,06/03/2016,2,0.0,NULL,0.0,0,-1,-1
dying-to-know-ram-dass-timothy-leary,69,6899,06/17/2016,3,0,NULL,0,0,-1,-1
sworn-virgin,70,NULL,04/22/2016,NULL,0.0,NULL,0.0322580645161,0,-1,-1
they-will-have-to-kill-us-first,67,7516,03/04/2016,2,0.0,NULL,0.0,0,-1,-1
20th-century-women,83,5664764,12/28/2016,650,0.96060725018,7.2,0.848961555457,0,-1,5
justin-timberlake-and-the-tennessee-kids,81,NULL,10/12/2016,NULL,-0.0564384348457,9.4,0.00683111954459,0,-1,-1
fatima,69,50105,08/26/2016,4,1.42503676432,NULL,0.217979904812,0,-1,-1
